type,latitude,longitude
T,58.3482,-4.42417
T,58.34806,-4.42425
T,58.34761,-4.42467
T,58.34749,-4.42484
T,58.34727,-4.42536
T,58.34577,-4.43176
T,58.34548,-4.43249
T,58.34504,-4.43328
T,58.34414,-4.43441
T,58.3427,-4.43575
T,58.34168,-4.43637
T,58.34089,-4.43637
T,58.33772,-4.43593
T,58.33669,-4.43563
T,58.33632,-4.43562
T,58.33512,-4.43655
T,58.33483,-4.43667
T,58.33414,-4.43682
T,58.33397,-4.43681
T,58.33362,-4.43672
T,58.33295,-4.43642
T,58.3322,-4.43596
T,58.33155,-4.43538
T,58.32945,-4.43276
T,58.32879,-4.43212
T,58.3276,-4.43131
T,58.3272,-4.43091
T,58.32687,-4.43075
T,58.32681,-4.43075
T,58.3268,-4.43074
T,58.32661,-4.43075
T,58.32646,-4.4308
T,58.32608,-4.43107
T,58.3259,-4.43115
T,58.32412,-4.43147
T,58.3239,-4.43144
T,58.32185,-4.43065
T,58.31898,-4.42987
T,58.31865,-4.42984
T,58.3155,-4.42811
T,58.31468,-4.42752
T,58.31445,-4.42743
T,58.31404,-4.42739
T,58.3138,-4.42743
T,58.31337,-4.42762
T,58.31256,-4.42826
T,58.31128,-4.42956
T,58.31087,-4.42977
T,58.31056,-4.42985
T,58.31014,-4.4298
T,58.30996,-4.42984
T,58.309,-4.43036
T,58.30753,-4.43131
T,58.30649,-4.43183
T,58.30543,-4.4322
T,58.30504,-4.43243
T,58.30358,-4.43373
T,58.30272,-4.43468
T,58.30213,-4.43548
T,58.302,-4.43558
T,58.30176,-4.43569
T,58.30147,-4.43575
T,58.29985,-4.4364
T,58.29981,-4.4364
T,58.29886,-4.43679
T,58.29617,-4.43757
T,58.2939,-4.43854
T,58.29343,-4.43886
T,58.29333,-4.4389
T,58.29232,-4.43958
T,58.29005,-4.44167
T,58.28959,-4.44195
T,58.28935,-4.44204
T,58.28901,-4.44207
T,58.28787,-4.44201
T,58.28774,-4.44204
T,58.28724,-4.44232
T,58.28693,-4.44273
T,58.28648,-4.44361
T,58.28611,-4.4441
T,58.28597,-4.44422
T,58.28575,-4.4443
T,58.28558,-4.44428
T,58.28491,-4.44405
T,58.28341,-4.44368
T,58.28246,-4.44363
T,58.28185,-4.44376
T,58.28166,-4.44375
T,58.28147,-4.4437
T,58.2813,-4.4436
T,58.28115,-4.44342
T,58.28088,-4.44283
T,58.27907,-4.43667
T,58.27859,-4.43558
T,58.27824,-4.43522
T,58.27797,-4.43506
T,58.27608,-4.43485
T,58.27592,-4.43493
T,58.27428,-4.43692
T,58.27328,-4.43876
T,58.27304,-4.44009
T,58.27278,-4.44084
T,58.27247,-4.44143
T,58.27159,-4.44268
T,58.27081,-4.44314
T,58.27063,-4.44329
T,58.2699,-4.44433
T,58.26921,-4.44575
T,58.26854,-4.44664
T,58.26684,-4.44811
T,58.26674,-4.44827
T,58.26647,-4.44892
T,58.2663,-4.4492
T,58.26558,-4.4499
T,58.26479,-4.4505
T,58.26329,-4.45203
T,58.26245,-4.45268
T,58.26232,-4.45282
T,58.26194,-4.45381
T,58.26165,-4.45428
T,58.26122,-4.45482
T,58.2609,-4.45544
T,58.26056,-4.45644
T,58.26031,-4.45689
T,58.2594,-4.45812
T,58.25865,-4.45895
T,58.25854,-4.45912
T,58.25813,-4.46037
T,58.25766,-4.46106
T,58.25697,-4.46244
T,58.256,-4.46516
T,58.25568,-4.46579
T,58.25508,-4.46638
T,58.25455,-4.46708
T,58.25405,-4.46801
T,58.25379,-4.46834
T,58.25344,-4.46865
T,58.25297,-4.46895
T,58.24998,-4.47213
T,58.2488,-4.47312
T,58.24823,-4.47341
T,58.24573,-4.47514
T,58.24499,-4.47556
T,58.24405,-4.47651
T,58.24358,-4.47795
T,58.24305,-4.47894
T,58.24293,-4.47906
T,58.24276,-4.47916
T,58.24146,-4.47957
T,58.24133,-4.47958
T,58.23956,-4.47918
T,58.23944,-4.4792
T,58.23762,-4.48011
T,58.23743,-4.48017
T,58.23728,-4.48017
T,58.2371,-4.48011
T,58.23686,-4.47997
T,58.23663,-4.47995
T,58.23645,-4.47998
T,58.23639,-4.48001
T,58.23612,-4.4803
T,58.23464,-4.48095
T,58.23318,-4.48189
T,58.23232,-4.48264
T,58.23187,-4.48316
T,58.23155,-4.48371
T,58.23113,-4.48473
T,58.22961,-4.48754
T,58.22907,-4.48826
T,58.22907,-4.48827
T,58.22877,-4.48863
T,58.22877,-4.48864
T,58.22619,-4.49158
T,58.22565,-4.49241
T,58.22522,-4.49272
T,58.22466,-4.49285
T,58.22399,-4.49276
T,58.2236,-4.49289
T,58.22276,-4.49337
T,58.21982,-4.49586
T,58.21948,-4.49609
T,58.21919,-4.49615
T,58.21856,-4.49594
T,58.21842,-4.49594
T,58.21815,-4.49603
T,58.21687,-4.49669
T,58.21669,-4.49674
T,58.21624,-4.49676
T,58.21501,-4.49653
T,58.21488,-4.49658
T,58.21394,-4.49734
T,58.21381,-4.49738
T,58.21197,-4.49723
T,58.21168,-4.49725
T,58.21148,-4.4973
T,58.20999,-4.49799
T,58.20829,-4.49922
