Index,Lat_Start,Lon_Start,Elevation,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,PointSize
166,57.91286,-4.05815,96,57.90858,-4.05636,1.010770086,-0.070828079,1.010695386,-0.070796838,0.487519035,120.8152035,1
167,57.90858,-4.05636,98,57.8944,-4.07861,1.010695386,-0.070796838,1.010447898,-0.071185173,2.052920817,122.8681243,1
168,57.8944,-4.07861,41,57.88701,-4.07868,1.010447898,-0.071185173,1.010318919,-0.071186395,0.821740922,123.6898653,1
169,57.88701,-4.07868,32,57.88661,-4.07902,1.010318919,-0.071186395,1.010311937,-0.071192329,0.048807824,123.7386731,1
170,57.88661,-4.07902,32,57.884,-4.08864,1.010311937,-0.071192329,1.010266384,-0.07136023,0.638442611,124.3771157,1
171,57.884,-4.08864,37,57.87609,-4.1091,1.010266384,-0.07136023,1.010128329,-0.071717324,1.495597756,125.8727135,1
172,57.87609,-4.1091,24,57.86815,-4.11322,1.010128329,-0.071717324,1.00998975,-0.071789232,0.915886796,126.7886003,1
173,57.86815,-4.11322,16,57.84981,-4.11153,1.00998975,-0.071789232,1.009669656,-0.071759736,2.041764016,128.8303643,1
174,57.84981,-4.11153,9,57.83144,-4.10665,1.009669656,-0.071759736,1.009349039,-0.071674564,2.062969915,130.8933342,1
175,57.83144,-4.10665,10,57.83089,-4.10514,1.009349039,-0.071674564,1.00933944,-0.071648209,0.108312813,131.001647,1
176,57.83089,-4.10514,10,57.82884,-4.08374,1.00933944,-0.071648209,1.009303661,-0.071274709,1.287310167,132.2889572,1
177,57.82884,-4.08374,12,57.82692,-4.08061,1.009303661,-0.071274709,1.00927015,-0.07122008,0.282706431,132.5716636,1
178,57.82692,-4.08061,19,57.81641,-4.07027,1.00927015,-0.07122008,1.009086716,-0.071039613,1.319350613,133.8910142,1
